id,repository,package,installed_version,cve,severity,fixed_version
F001,seed,decompress,4.2.1,GHSA-mp2f-45pm-3cg9,Critical,
F002,seed,shell-quote,1.8.3,GHSA-w7jw-789q-3m8p,Critical,1.8.4
F003,CoPeP,hydra-core,1.3.2,GHSA-2cp2-2r3c-7p7r,High,1.3.4
F004,seed,shell-quote,1.8.3,GHSA-395f-4hp3-45gv,High,1.9.0
F005,seed,sqlparse,0.5.5,GHSA-prg7-hcfm-mfcr,High,0.6.0
F006,CoPeP,tornado,6.5.4,GHSA-78cv-mqj4-43f7,Medium,6.5.5
F007,cycode-cli,requests,2.32.5,GHSA-gc5v-m9x4-r6x2,Medium,2.33.0
F008,pypi-browser,idna,3.7,GHSA-65pc-fj4g-8rjx,Medium,3.15
F009,pypi-browser,jinja2,3.1.4,GHSA-q2x7-8rv6-6q7h,Medium,3.1.5
F010,pypi-browser,setuptools,69.5.1,GHSA-h35f-9h28-mq5c,Medium,83.0.0
F011,pypi-browser,virtualenv,20.26.2,GHSA-597g-3phw-6986,Medium,20.36.1
F012,seed,angular,1.8.3,GHSA-qwqh-hm9m-p5hr,Medium,
F013,seed,got,7.1.0,GHSA-pfrx-2q88-qq97,Medium,11.8.5
F014,validator,cryptography,45.0.7,GHSA-m2h6-j472-rp4c,Medium,49.0.0
F015,validator,pytest,8.3.5;8.4.2,GHSA-6w46-j5rx-g56g,Medium,9.0.3
F016,CoPeP,aiohttp,3.13.3,GHSA-9x8q-7h8h-wcw9,Low,3.14.1
F017,CoPeP,torch,2.10.0,GHSA-rrmf-rvhw-rf47,Low,2.13.0
F018,pypi-browser,pygments,2.18.0,GHSA-5239-wwwm-4pmq,Low,2.20.0
F019,pypi-browser,starlette,0.37.2,GHSA-jp82-jpqv-5vv3,Low,1.3.0
F020,seed,angular,1.8.3,GHSA-mqm9-c95h-x2p6,Low,
