repository,package,installed_version,vulnerability_id,severity,fixed_version,dependency_type
CoPeP,gitpython,3.1.46,GHSA-rpm5-65cw-6hj4,High,3.1.47,python
CoPeP,pyarrow,23.0.0,GHSA-rgxp-2hwp-jwgg,High,23.0.1,python
CoPeP,urllib3,2.6.3,GHSA-mf9v-mfxr-j63j,High,2.7.0,python
CoPeP,pillow,12.1.0,GHSA-whj4-6x5x-4v2j,High,12.2.0,python
CoPeP,gitpython,3.1.46,GHSA-x2qx-6953-8485,High,3.1.47,python
CoPeP,tornado,6.5.4,GHSA-mgf9-4vpg-hj56,High,6.5.6,python
CoPeP,transformers,5.2.0,GHSA-fgcw-684q-jj6r,High,5.5.0,python
CoPeP,pillow,12.1.0,GHSA-62p4-gmf7-7g93,High,12.3.0,python
CoPeP,transformers,5.2.0,GHSA-29pf-2h5f-8g72,High,5.3.0,python
CoPeP,pillow,12.1.0,GHSA-xj96-63gp-2gmr,High,12.3.0,python
CoPeP,pillow,12.1.0,GHSA-vjc4-5qp5-m44j,High,12.3.0,python
CoPeP,pillow,12.1.0,GHSA-45hq-cxwh-f6vc,High,12.3.0,python
CoPeP,pillow,12.1.0,GHSA-5x94-69rx-g8h2,High,12.3.0,python
CoPeP,pillow,12.1.0,GHSA-phj9-mv4w-65pm,High,12.3.0,python
CoPeP,gitpython,3.1.46,GHSA-7545-fcxq-7j24,High,3.1.48,python
CoPeP,pillow,12.1.0,GHSA-8v84-f9pq-wr9x,High,12.3.0,python
CoPeP,pillow,12.1.0,GHSA-cfh3-3jmp-rvhc,High,12.1.1,python
CoPeP,tornado,6.5.4,GHSA-qjxf-f2mg-c6mc,High,6.5.5,python
CoPeP,pillow,12.1.0,GHSA-9hw9-ch79-4vh6,High,12.3.0,python
CoPeP,pillow,12.1.0,GHSA-6r8x-57c9-28j4,High,12.3.0,python
CoPeP,pillow,12.1.0,GHSA-jjj6-mw9f-p565,High,12.3.0,python
CoPeP,tornado,6.5.4,GHSA-3x9g-8vmp-wqvf,High,6.5.6,python
CoPeP,aiohttp,3.13.3,GHSA-m5qp-6w8w-w647,Medium,3.13.4,python
